time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/12:36:47.043612;8245;1714765007;43224844;world;6.58E-07;-1.97E-05;1.43E-05;-3.89E-05;-2.16E-05;-1.49E-05;1
2024/05/03/12:36:47.043673;8247;1714765007;43270147;world;-1.03E-05;-3.32E-05;5.47E-06;-7.62E-05;6.83E-05;-3.46E-05;1
2024/05/03/12:36:47.063476;8248;1714765007;63132051;world;-6.26E-06;-3.08E-05;-3.50E-06;-9.59E-05;2.97E-05;9.37E-06;1
2024/05/03/12:36:47.083730;8249;1714765007;83120798;world;-7.76E-06;-2.90E-05;9.90E-06;-7.77E-06;-1.65E-05;-1.10E-05;1
2024/05/03/12:36:47.093592;8250;1714765007;93270666;world;-7.89E-06;-2.69E-05;1.99E-05;-4.34E-05;-1.59E-05;-1.48E-05;1
2024/05/03/12:36:47.133603;8251;1714765007;133305373;world;-1.19E-05;-1.95E-05;6.47E-06;5.84E-07;-4.04E-06;2.79E-06;1
2024/05/03/12:36:47.133626;8252;1714765007;133343924;world;-4.79E-06;-2.60E-05;4.10E-07;-6.38E-05;2.92E-05;-3.33E-05;1
2024/05/03/12:36:47.143510;8253;1714765007;143194644;world;-8.63E-06;-2.36E-05;8.15E-06;-7.20E-05;4.43E-06;-1.70E-05;1
2024/05/03/12:36:47.153205;8254;1714765007;152953656;world;-1.09E-05;-2.76E-05;9.83E-06;-3.12E-05;1.48E-05;-4.53E-06;1
2024/05/03/12:36:47.173475;8255;1714765007;173164319;world;-1.11E-05;-2.54E-05;1.62E-05;5.42E-06;-1.78E-05;-1.85E-05;1
2024/05/03/12:36:47.183336;8256;1714765007;183013655;world;-3.73E-06;-2.68E-05;5.98E-06;-0.000103943;6.79E-05;-2.83E-05;1
2024/05/03/12:36:47.203686;8257;1714765007;203385904;world;-3.34E-06;-2.59E-05;1.33E-05;-2.64E-05;1.22E-06;-2.45E-05;1
2024/05/03/12:36:47.243351;8258;1714765007;243064469;world;-1.19E-05;-2.29E-05;1.61E-05;-1.39E-06;2.06E-05;-9.34E-06;1
2024/05/03/12:36:47.243377;8259;1714765007;243105173;world;-7.32E-06;-2.77E-05;1.37E-05;-3.54E-05;1.06E-05;3.92E-06;1
2024/05/03/12:36:47.253324;8260;1714765007;253026895;world;-1.38E-05;-2.88E-05;2.95E-06;-2.68E-07;-2.83E-05;-5.04E-06;1
2024/05/03/12:36:47.263657;8261;1714765007;263350971;world;-2.72E-06;-2.78E-05;1.02E-05;-4.06E-05;7.40E-06;-1.57E-05;1
2024/05/03/12:36:47.293264;8262;1714765007;292962710;world;2.20E-06;-2.74E-05;1.48E-05;9.23E-06;1.16E-05;-1.48E-05;1
2024/05/03/12:36:47.303222;8263;1714765007;302940072;world;-5.12E-09;-2.72E-05;2.09E-06;-4.26E-05;4.50E-05;-3.43E-05;1
2024/05/03/12:36:47.343406;8264;1714765007;343038726;world;1.05E-05;-2.22E-05;3.06E-06;-2.58E-05;-1.60E-05;-2.50E-05;1
2024/05/03/12:36:47.343445;8266;1714765007;343083618;world;1.35E-06;-2.45E-05;1.28E-05;-4.18E-05;1.98E-05;3.22E-07;1
2024/05/03/12:36:47.363256;8267;1714765007;362984013;world;-5.71E-06;-2.77E-05;1.37E-05;-3.82E-05;9.50E-06;-1.08E-05;1
2024/05/03/12:36:47.373423;8268;1714765007;373107261;world;-3.18E-06;-2.16E-05;7.72E-06;-3.31E-05;-5.04E-06;-8.34E-07;1
2024/05/03/12:36:47.393477;8269;1714765007;393096610;world;-3.78E-06;-2.91E-05;1.00E-05;-1.01E-05;3.20E-05;-3.13E-05;1
2024/05/03/12:36:47.403581;8270;1714765007;403235917;world;-3.47E-06;-2.82E-05;1.01E-05;-3.67E-05;3.20E-05;1.38E-05;1
2024/05/03/12:36:47.433507;8271;1714765007;432956145;world;-1.54E-05;-2.53E-05;1.44E-05;-4.04E-05;-2.49E-05;8.69E-06;1
2024/05/03/12:36:47.433527;8272;1714765007;432992171;world;-7.76E-06;-3.14E-05;-1.07E-06;-3.31E-05;9.21E-06;-4.25E-05;1
2024/05/03/12:36:47.453430;8273;1714765007;453104884;world;1.92E-06;-2.02E-05;3.19E-06;-1.94E-07;1.05E-06;-2.10E-05;1
2024/05/03/12:36:47.474945;8274;1714765007;473528588;world;-2.43E-06;-3.08E-05;3.29E-06;-7.29E-05;6.21E-05;-1.59E-05;1
2024/05/03/12:36:47.493643;8275;1714765007;493089249;world;-1.36E-05;-3.03E-05;1.76E-05;-4.94E-05;2.15E-05;1.31E-05;1
2024/05/03/12:36:47.503643;8276;1714765007;503347676;world;-7.90E-06;-2.61E-05;4.86E-06;-7.41E-05;4.34E-05;-3.93E-06;1
2024/05/03/12:36:47.533417;8277;1714765007;533076540;world;-4.21E-06;-2.92E-05;4.36E-06;-1.17E-05;5.00E-05;-4.37E-06;1
2024/05/03/12:36:47.533441;8278;1714765007;533110753;world;-5.61E-06;-3.21E-05;1.16E-05;-3.99E-05;1.51E-05;-1.42E-05;1
2024/05/03/12:36:47.553449;8279;1714765007;553135824;world;5.96E-06;-2.08E-05;6.28E-06;3.97E-06;1.81E-05;-3.75E-05;1
2024/05/03/12:36:47.564193;8280;1714765007;563440816;world;-7.82E-06;-3.75E-05;2.80E-06;-0.000100129;4.32E-05;-1.32E-05;1
