time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/12:47:01.893383;45173;1714765621;892974571;world;2.16E-05;3.30E-06;1.32E-05;-0.000104244;2.65E-05;5.21E-05;1
2024/05/03/12:47:01.903246;45174;1714765621;902949053;world;2.18E-05;4.84E-06;1.69E-05;-9.19E-05;-2.03E-05;6.08E-05;1
2024/05/03/12:47:01.923825;45175;1714765621;923414988;world;2.24E-05;1.50E-05;2.62E-05;-8.87E-05;-1.19E-05;3.39E-05;1
2024/05/03/12:47:01.933258;45176;1714765621;932988261;world;2.85E-05;1.23E-05;1.21E-05;-0.000116716;-1.18E-05;0.000121254;1
2024/05/03/12:47:01.943427;45177;1714765621;943195670;world;2.12E-05;3.06E-05;-3.59E-06;-1.36E-05;3.72E-05;6.10E-05;1
2024/05/03/12:47:01.963535;45178;1714765621;963136571;world;1.20E-05;-3.85E-05;1.86E-05;-1.80E-05;3.47E-05;0.000233716;1
2024/05/03/12:47:01.973417;45179;1714765621;973110104;world;2.16E-05;-5.62E-06;2.42E-05;1.13E-05;1.65E-05;8.97E-05;1
2024/05/03/12:47:02.003444;45180;1714765622;3148598;world;3.52E-05;1.64E-05;1.79E-05;-6.89E-05;2.07E-05;0.000107538;1
2024/05/03/12:47:02.003474;45181;1714765622;3188973;world;3.94E-05;1.09E-05;5.40E-08;-1.34E-05;3.13E-05;0.000130353;1
2024/05/03/12:47:02.023487;45182;1714765622;23168389;world;2.93E-05;2.79E-05;1.16E-05;-3.24E-05;4.26E-05;4.95E-05;1
2024/05/03/12:47:02.043262;45183;1714765622;42985650;world;2.53E-05;1.54E-05;1.43E-05;3.11E-06;8.98E-05;6.12E-05;1
2024/05/03/12:47:02.053545;45184;1714765622;52965032;world;2.44E-05;1.02E-06;1.91E-05;-6.39E-05;9.42E-06;0.00010031;1
2024/05/03/12:47:02.073568;45185;1714765622;73055664;world;2.21E-05;1.23E-05;1.04E-05;-2.08E-05;1.19E-05;-3.04E-05;1
2024/05/03/12:47:02.103393;45186;1714765622;102952565;world;3.07E-05;3.86E-05;1.20E-05;-9.40E-05;9.32E-06;5.29E-05;1
2024/05/03/12:47:02.103415;45187;1714765622;102989695;world;2.62E-05;4.65E-05;7.77E-06;-3.14E-05;5.50E-05;2.24E-05;1
2024/05/03/12:47:02.123231;45188;1714765622;122939700;world;3.61E-05;7.84E-06;1.03E-05;-9.57E-06;4.65E-05;5.12E-05;1
2024/05/03/12:47:02.133361;45189;1714765622;132963791;world;2.12E-05;-3.19E-06;2.92E-06;-6.29E-05;3.12E-05;9.40E-05;1
2024/05/03/12:47:02.153400;45190;1714765622;153124584;world;2.73E-05;1.77E-05;9.46E-06;-3.30E-05;1.93E-05;0.000115921;1
2024/05/03/12:47:02.163678;45191;1714765622;163141747;world;-7.82E-08;-2.84E-05;1.50E-05;-6.31E-05;5.09E-05;0.000110769;1
2024/05/03/12:47:02.183085;45192;1714765622;182889629;world;4.06E-05;1.70E-05;2.00E-05;-3.42E-05;4.20E-05;7.15E-05;1
2024/05/03/12:47:02.203664;45193;1714765622;202930264;world;6.28E-06;2.14E-05;7.27E-06;-4.78E-05;2.52E-06;3.39E-05;1
2024/05/03/12:47:02.213300;45194;1714765622;212977708;world;2.64E-05;3.97E-05;-6.16E-07;-0.000109376;2.23E-05;0.000135903;1
2024/05/03/12:47:02.223763;45195;1714765622;223351177;world;2.79E-05;2.13E-05;2.13E-05;-8.36E-05;-2.94E-05;8.07E-05;1
2024/05/03/12:47:02.243794;45196;1714765622;243177115;world;2.21E-05;3.19E-06;2.39E-05;-3.84E-05;6.49E-05;0.00011603;1
2024/05/03/12:47:02.263546;45197;1714765622;262867820;world;2.01E-05;1.75E-05;-6.62E-06;-3.71E-05;2.26E-05;0.000103647;1
2024/05/03/12:47:02.273698;45198;1714765622;273333568;world;1.33E-05;2.62E-05;-2.11E-07;-4.39E-05;1.22E-05;7.99E-05;1
2024/05/03/12:47:02.303794;45199;1714765622;303044856;world;1.67E-06;-3.10E-06;2.20E-05;-5.84E-05;2.51E-05;0.000115207;1
2024/05/03/12:47:02.303828;45200;1714765622;303090381;world;-9.75E-06;-1.31E-05;2.63E-05;-8.92E-05;-1.16E-05;0.000131759;1
2024/05/03/12:47:02.333266;45201;1714765622;332949401;world;1.95E-05;3.84E-05;1.95E-05;-5.09E-05;2.71E-05;6.36E-05;1
2024/05/03/12:47:02.333297;45202;1714765622;332986841;world;3.70E-05;1.89E-05;-3.81E-07;-2.72E-05;2.41E-05;8.01E-05;1
2024/05/03/12:47:02.353490;45203;1714765622;353206530;world;1.84E-05;2.65E-05;7.37E-06;-3.21E-05;3.80E-05;8.78E-05;1
2024/05/03/12:47:02.373705;45204;1714765622;373436744;world;3.44E-05;2.82E-05;1.28E-05;-1.99E-05;7.01E-05;6.71E-05;1
2024/05/03/12:47:02.383267;45205;1714765622;382964516;world;2.50E-05;4.37E-05;1.82E-05;-3.63E-05;2.21E-05;6.91E-05;1
