time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:39:16.107017;264155;1714768756;155903307;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.103515625, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -21.520000457763672, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.116229;264156;1714768756;171836862;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.132446;264157;1714768756;187855436;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.149006;264158;1714768756;203856880;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.3701171875, 0.7838642001152039, 2869.19921875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -21.520000457763672, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.164129;264159;1714768756;219828139;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -21.520000457763672, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.180759;264160;1714768756;235880101;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 2.690000057220459, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.209674;264161;1714768756;254031471;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.105224609375, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.3701171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.215325;264162;1714768756;268347212;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2866.103515625, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.229662;264163;1714768756;283942323;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.103515625, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.197509765625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:39:16.244741;264164;1714768756;300421563;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2866.103515625, -0.7838642001152039, 2864.721435546875, -0.7869321703910828, 2864.371826171875, 0.7838642001152039, 2869.19921875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 32.279998779296875, -18.829999923706055, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, -8.069999694824219)
