time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:34:20.870256;245702;1714768460;918605577;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, 0.0, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:34:20.889244;245703;1714768460;934432373;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.528564453125, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, 0.0, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:34:20.902230;245704;1714768460;950499114;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, -5.380000114440918, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:34:20.918360;245705;1714768460;966795687;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, -5.380000114440918, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:34:20.934096;245706;1714768460;982426909;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.528564453125, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, -5.380000114440918, 5.380000114440918, -5.380000114440918, -2.690000057220459, 10.760000228881836, -8.069999694824219)
2024/05/03/13:34:20.950385;245707;1714768460;998696187;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.528564453125, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, 0.0, 5.380000114440918, -5.380000114440918, -2.690000057220459, 13.450000762939453, -8.069999694824219)
2024/05/03/13:34:20.969546;245708;1714768461;14457760;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, 0.0, 5.380000114440918, -5.380000114440918, -2.690000057220459, 13.450000762939453, -8.069999694824219)
2024/05/03/13:34:20.991687;245709;1714768461;31855186;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, -5.380000114440918, 5.380000114440918, -5.380000114440918, -2.690000057220459, 13.450000762939453, -8.069999694824219)
2024/05/03/13:34:21.003823;245710;1714768461;46470834;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.527099609375, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, -5.380000114440918, 5.380000114440918, -5.380000114440918, -2.690000057220459, 13.450000762939453, -8.069999694824219)
2024/05/03/13:34:21.014576;245711;1714768461;62543611;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7869321703910828, 2706.083251953125, -0.7853981852531433, 3024.528564453125, -0.7853981852531433, 2704.5908203125, 0.7838642001152039, 3028.9462890625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 78.01000213623047, 0.0, 5.380000114440918, -5.380000114440918, -2.690000057220459, 13.450000762939453, -8.069999694824219)
