time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:25:49.273501;192128;1714767949;273109596;world;5.18E-06;-1.44E-05;-1.56E-05;1.33E-05;-2.54E-05;-4.61E-05;1
2024/05/03/13:25:49.283959;192129;1714767949;283447351;world;8.36E-06;-1.04E-05;-1.81E-05;5.58E-05;-1.24E-05;-4.52E-05;1
2024/05/03/13:25:49.313895;192130;1714767949;313471843;world;6.50E-06;-1.42E-05;-1.10E-05;1.88E-05;1.28E-05;-5.66E-05;1
2024/05/03/13:25:49.323789;192131;1714767949;323473928;world;-9.08E-06;-8.20E-06;-5.43E-06;3.48E-05;-4.28E-05;-4.71E-05;1
2024/05/03/13:25:49.333424;192132;1714767949;333119897;world;7.46E-06;-6.35E-06;-6.24E-06;2.10E-05;-3.63E-05;-2.71E-05;1
2024/05/03/13:25:49.354040;192133;1714767949;353037942;world;5.01E-06;8.45E-07;-1.26E-05;1.38E-05;-1.24E-05;6.04E-07;1
2024/05/03/13:25:49.363578;192134;1714767949;363220049;world;-1.10E-06;-4.53E-06;-5.85E-06;-9.33E-06;-2.60E-06;-2.23E-05;1
2024/05/03/13:25:49.383511;192135;1714767949;383174385;world;8.31E-06;-1.25E-05;-9.98E-06;3.95E-05;-4.95E-05;-6.52E-05;1
2024/05/03/13:25:49.403411;192136;1714767949;403155904;world;-6.58E-06;-1.10E-05;-1.37E-05;3.54E-05;-3.95E-05;-5.28E-05;1
2024/05/03/13:25:49.423097;192137;1714767949;422881921;world;3.05E-06;-7.99E-06;-2.11E-05;5.28E-05;-2.07E-05;-6.33E-05;1
2024/05/03/13:25:49.433444;192138;1714767949;433112677;world;1.50E-05;-8.00E-06;-7.51E-06;4.29E-05;-4.04E-05;-8.14E-05;1
2024/05/03/13:25:49.443581;192139;1714767949;443281213;world;1.18E-05;9.30E-06;-1.38E-05;3.28E-05;1.81E-05;1.40E-05;1
2024/05/03/13:25:49.463557;192140;1714767949;463276957;world;3.73E-06;-2.08E-05;-1.36E-05;-1.70E-05;-1.85E-06;-4.99E-05;1
2024/05/03/13:25:49.473438;192141;1714767949;473108923;world;1.08E-05;-4.84E-06;-1.47E-05;1.07E-05;1.62E-05;-2.32E-05;1
2024/05/03/13:25:49.493281;192142;1714767949;492978743;world;-4.62E-06;-9.95E-06;-1.35E-05;3.39E-05;-2.83E-05;-7.00E-05;1
2024/05/03/13:25:49.513409;192143;1714767949;513062115;world;1.73E-05;-6.82E-06;-8.21E-06;-2.59E-06;-7.71E-06;-4.16E-06;1
2024/05/03/13:25:49.523579;192144;1714767949;523268273;world;1.98E-05;-7.80E-07;-1.72E-05;-1.95E-05;5.03E-06;-1.66E-05;1
