time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:27:01.513599;196749;1714768021;513102586;world;-5.19E-05;7.14E-06;-5.04E-06;-6.57E-05;-5.31E-06;4.79E-06;-1
2024/05/03/13:27:01.513655;196750;1714768021;513154120;world;-5.58E-05;9.51E-06;-7.98E-06;6.54E-06;5.54E-05;-1.81E-05;-1
2024/05/03/13:27:01.523717;196751;1714768021;523159530;world;-6.19E-05;6.58E-06;-2.21E-05;-6.12E-07;1.49E-05;2.88E-06;-1
2024/05/03/13:27:01.533629;196752;1714768021;533333461;world;-7.89E-05;9.52E-06;-1.89E-05;4.05E-05;4.93E-05;2.77E-05;-1
2024/05/03/13:27:01.554008;196753;1714768021;553448923;world;-7.36E-05;1.31E-05;-5.30E-06;-2.91E-05;4.13E-05;-2.84E-06;-1
2024/05/03/13:27:01.583886;196754;1714768021;583430542;world;-4.40E-05;1.03E-05;-3.93E-06;-2.17E-05;1.82E-05;-1.71E-05;-1
2024/05/03/13:27:01.583997;196755;1714768021;583491283;world;-3.60E-05;2.89E-05;-6.39E-06;-4.68E-05;3.80E-05;-6.65E-06;-1
2024/05/03/13:27:01.623987;196756;1714768021;623741747;world;-5.57E-05;2.48E-05;-1.00E-05;3.08E-05;-1.38E-05;-2.10E-05;-1
2024/05/03/13:27:01.624036;196757;1714768021;623771812;world;-4.78E-05;1.14E-05;-9.47E-06;-2.82E-05;1.82E-05;-2.19E-05;-1
2024/05/03/13:27:01.633444;196758;1714768021;633143918;world;-4.41E-05;8.25E-06;-8.79E-06;1.13E-05;8.11E-06;-1.33E-05;-1
2024/05/03/13:27:01.653640;196759;1714768021;653288485;world;-4.57E-05;1.19E-05;-1.34E-05;1.27E-05;4.74E-05;9.78E-07;-1
2024/05/03/13:27:01.663372;196760;1714768021;663062360;world;-5.15E-05;1.44E-05;-8.14E-06;-9.86E-06;3.25E-05;-2.84E-06;-1
2024/05/03/13:27:01.683614;196761;1714768021;683266947;world;-5.31E-05;2.19E-06;1.64E-06;-1.50E-05;4.14E-05;8.61E-06;-1
2024/05/03/13:27:01.693292;196762;1714768021;693006870;world;-5.74E-05;-4.27E-07;-2.87E-06;3.55E-05;3.45E-05;1.43E-05;-1
2024/05/03/13:27:01.713670;196763;1714768021;713276066;world;-5.10E-05;-2.03E-06;-1.72E-06;3.23E-05;3.92E-05;3.25E-05;-1
2024/05/03/13:27:01.723542;196764;1714768021;723134392;world;-4.90E-05;2.04E-05;-1.08E-05;-2.72E-06;3.65E-05;-3.79E-06;-1
2024/05/03/13:27:01.733236;196765;1714768021;733048614;world;-5.93E-05;4.70E-06;-1.01E-05;2.28E-05;8.75E-06;2.89E-06;-1
2024/05/03/13:27:01.753326;196766;1714768021;753001193;world;-3.92E-05;2.94E-06;-8.13E-07;4.95E-05;8.02E-06;3.44E-05;-1
2024/05/03/13:27:01.773647;196767;1714768021;773094536;world;-5.35E-05;6.15E-06;-6.89E-06;2.69E-05;2.23E-05;9.56E-06;-1
2024/05/03/13:27:01.793396;196768;1714768021;793029177;world;-4.70E-05;2.78E-06;-1.38E-05;-4.20E-06;3.00E-05;1.81E-05;-1
2024/05/03/13:27:01.813557;196769;1714768021;813232752;world;-3.28E-05;4.72E-06;-1.19E-05;-2.57E-05;-1.71E-05;1.05E-05;-1
