time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:16:16.723539;155488;1714767376;723152296;world;-1.46E-05;-2.77E-05;-5.78E-07;8.77E-05;-1.29E-05;2.46E-05;-1
2024/05/03/13:16:16.743552;155489;1714767376;743067570;world;-2.37E-05;-1.23E-05;4.60E-06;6.90E-05;1.29E-05;1.58E-05;-1
2024/05/03/13:16:16.753314;155490;1714767376;752974110;world;-6.74E-06;-3.36E-05;8.85E-06;3.49E-05;-2.90E-05;1.49E-05;-1
2024/05/03/13:16:16.795009;155491;1714767376;793283512;world;-5.44E-06;-4.33E-05;-5.62E-06;0.000168009;-5.69E-05;5.54E-05;-1
2024/05/03/13:16:16.795045;155492;1714767376;793453470;world;-2.62E-05;-2.05E-05;-1.36E-05;4.96E-05;-2.94E-05;1.34E-05;-1
2024/05/03/13:16:16.803418;155493;1714767376;803180613;world;-1.25E-05;-3.02E-05;-3.73E-06;7.19E-05;-4.46E-05;4.78E-05;-1
2024/05/03/13:16:16.813231;155494;1714767376;812876858;world;-1.68E-05;-2.42E-05;1.69E-05;5.84E-05;-1.84E-05;2.13E-05;-1
2024/05/03/13:16:16.833674;155495;1714767376;833237735;world;-1.67E-05;-2.23E-05;-1.15E-05;0.000100705;-6.48E-05;3.49E-05;-1
2024/05/03/13:16:16.863569;155496;1714767376;863276212;world;-8.69E-06;-3.26E-05;-1.56E-06;4.76E-06;-3.38E-05;1.01E-05;-1
2024/05/03/13:16:16.863596;155497;1714767376;863313993;world;-1.35E-05;-2.88E-05;5.23E-06;5.41E-05;-2.90E-05;3.66E-06;-1
2024/05/03/13:16:16.893313;155498;1714767376;893045406;world;-2.04E-05;-1.93E-05;9.77E-06;6.74E-05;-1.84E-05;-3.25E-06;-1
2024/05/03/13:16:16.893341;155499;1714767376;893083778;world;-9.69E-06;-2.41E-05;2.98E-06;0.000103202;1.32E-05;1.65E-05;-1
2024/05/03/13:16:16.913559;155500;1714767376;913273844;world;-1.59E-05;-2.35E-05;-5.08E-06;8.44E-05;-1.96E-05;5.13E-05;-1
2024/05/03/13:16:16.933501;155501;1714767376;933193834;world;-9.83E-06;-2.94E-05;7.00E-06;5.34E-05;-1.80E-05;2.70E-05;-1
2024/05/03/13:16:16.943686;155502;1714767376;943269170;world;-9.91E-06;-1.84E-05;1.07E-05;3.17E-05;-2.08E-05;9.62E-06;-1
2024/05/03/13:16:16.963641;155503;1714767376;963363098;world;-2.17E-05;-1.13E-05;2.67E-06;2.73E-05;1.15E-05;1.80E-05;-1
2024/05/03/13:16:16.973611;155504;1714767376;973289129;world;-1.10E-05;-2.54E-05;2.50E-06;5.27E-05;-4.41E-06;3.63E-05;-1
2024/05/03/13:16:16.993545;155505;1714767376;993218647;world;-2.15E-05;-3.83E-05;-1.86E-06;4.86E-05;-5.39E-05;3.47E-05;-1
