time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/12:51:14.831454;84071;1714765874;852920312;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.147705078125, 1.5707963705062866, 1108.1416015625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.854033;84072;1714765874;868943662;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.249267578125, 1.572330355644226, 1108.147705078125, 1.5707963705062866, 1108.1431884765625, 1.5692623853683472, 1112.654541015625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.862052;84073;1714765874;884933808;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.1492919921875, 1.5707963705062866, 1108.1416015625, 1.5707963705062866, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.878515;84074;1714765874;900967435;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.147705078125, 1.5707963705062866, 1108.1431884765625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 8.069999694824219, 0.0)
2024/05/03/12:51:14.895263;84075;1714765874;916963082;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.5707963705062866, 1108.147705078125, 1.5707963705062866, 1108.1416015625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.912326;84076;1714765874;932976932;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.147705078125, 1.5707963705062866, 1108.1431884765625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/12:51:14.927259;84077;1714765874;948974596;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.5707963705062866, 1108.1492919921875, 1.5707963705062866, 1108.1431884765625, 1.5707963705062866, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.954761;84078;1714765874;965054131;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.147705078125, 1.572330355644226, 1108.1431884765625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.960188;84079;1714765874;980963981;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.572330355644226, 1108.147705078125, 1.5707963705062866, 1108.1416015625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
2024/05/03/12:51:14.975219;84080;1714765874;996963813;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 1110.2508544921875, 1.5707963705062866, 1108.147705078125, 1.5707963705062866, 1108.1431884765625, 1.5692623853683472, 1112.6561279296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 59.18000030517578, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 10.760000228881836, 0.0)
