time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:02:45.603475;104183;1714766565;603133907;world;1.14E-05;3.06E-05;-1.13E-05;-0.000205677;5.57E-05;-8.60E-05;1
2024/05/03/13:02:45.633664;104184;1714766565;633238586;world;6.58E-05;9.34E-05;-3.52E-05;-0.000226004;-5.25E-05;-0.000219528;1
2024/05/03/13:02:45.644245;104185;1714766565;643916774;world;7.67E-05;9.33E-05;-3.36E-05;-0.000209618;-6.27E-05;-0.000198727;1
2024/05/03/13:02:45.673661;104186;1714766565;673184884;world;-1.27E-06;5.08E-05;1.91E-05;4.33E-05;-5.72E-05;-8.38E-06;1
2024/05/03/13:02:45.674531;104187;1714766565;673227293;world;-1.91E-06;7.19E-05;-1.90E-06;-8.55E-05;-0.000102513;-3.04E-05;1
2024/05/03/13:02:45.683267;104188;1714766565;682976808;world;-3.72E-05;1.88E-05;-1.04E-05;-0.000209662;2.06E-05;3.02E-05;1
2024/05/03/13:02:45.703778;104189;1714766565;702962640;world;9.96E-06;6.98E-05;6.01E-06;-1.18E-06;-7.36E-05;-4.14E-05;1
2024/05/03/13:02:45.723490;104190;1714766565;723070613;world;1.61E-05;9.30E-05;-9.95E-06;-5.95E-06;-0.000115114;-7.68E-05;1
2024/05/03/13:02:45.733499;104191;1714766565;733170395;world;8.55E-05;9.94E-05;-5.53E-05;-0.000281264;-3.05E-05;-0.000181843;1
2024/05/03/13:02:45.783293;104192;1714766565;782953790;world;4.92E-05;9.23E-05;-3.72E-05;-0.000215518;-3.95E-05;-0.000120443;1
2024/05/03/13:02:45.783329;104194;1714766565;783002542;world;-1.99E-06;3.96E-05;-6.46E-06;-5.27E-05;0.00010279;6.16E-06;1
2024/05/03/13:02:45.803559;104195;1714766565;803089386;world;-1.46E-05;4.10E-05;4.02E-06;4.92E-06;1.26E-05;-6.15E-05;1
2024/05/03/13:02:45.813294;104196;1714766565;812998860;world;-1.40E-05;1.81E-05;-2.49E-05;-0.000182743;4.69E-06;-8.95E-05;1
2024/05/03/13:02:45.833778;104197;1714766565;833368913;world;-7.34E-06;1.75E-05;-2.83E-05;-0.00020755;3.15E-05;-4.45E-06;1
2024/05/03/13:02:45.844144;104198;1714766565;843326099;world;-4.19E-06;3.02E-05;-3.61E-05;-0.00026135;-1.31E-05;-6.45E-05;1
2024/05/03/13:02:45.863518;104199;1714766565;863204359;world;1.24E-05;4.92E-05;-3.57E-05;-0.000274723;-2.26E-05;-0.000131583;1
2024/05/03/13:02:45.873491;104200;1714766565;873169097;world;5.82E-05;9.27E-05;-4.58E-05;-0.000259588;-3.38E-05;-0.000183653;1
2024/05/03/13:02:45.893335;104201;1714766565;892942240;world;3.14E-05;6.95E-05;-5.87E-06;-7.16E-05;-0.000113018;-9.71E-05;1
2024/05/03/13:02:45.903862;104202;1714766565;903434993;world;6.16E-06;4.95E-05;1.06E-06;4.81E-05;-1.71E-05;-1.28E-05;1
2024/05/03/13:02:45.923717;104203;1714766565;923385349;world;-2.49E-05;2.92E-05;9.88E-06;6.53E-07;5.21E-05;7.50E-05;1
2024/05/03/13:02:45.943211;104204;1714766565;942893221;world;1.74E-05;4.99E-05;-1.47E-05;-0.000154407;-4.11E-05;-0.000135791;1
2024/05/03/13:02:45.963918;104205;1714766565;963684237;world;-3.35E-06;4.08E-05;-2.18E-05;-0.000201169;9.51E-05;-5.26E-05;1
2024/05/03/13:02:45.973454;104206;1714766565;973137745;world;-1.65E-05;5.31E-05;5.35E-06;-6.15E-05;0.000101614;1.10E-05;1
2024/05/03/13:02:45.983505;104207;1714766565;983169719;world;2.74E-05;5.51E-05;-1.40E-06;-0.00011632;-0.00012521;-0.000129018;1
2024/05/03/13:02:46.003606;104208;1714766566;3083537;world;4.97E-05;6.55E-05;1.02E-05;-1.36E-05;-0.000151375;-9.73E-05;1
2024/05/03/13:02:46.013386;104209;1714766566;13063765;world;2.58E-05;9.06E-05;-2.31E-05;-0.000235622;-4.37E-05;-0.000138184;1
2024/05/03/13:02:46.043327;104210;1714766566;42996753;world;-1.24E-05;2.60E-05;-3.38E-05;-0.000292164;-1.95E-06;-3.56E-05;1
2024/05/03/13:02:46.043336;104211;1714766566;43030958;world;-4.81E-05;1.98E-05;5.07E-05;1.55E-05;-8.53E-05;2.10E-05;1
2024/05/03/13:02:46.073742;104212;1714766566;73360890;world;-4.30E-05;1.57E-05;4.05E-05;-6.22E-05;-7.20E-05;-4.87E-05;1
2024/05/03/13:02:46.083888;104213;1714766566;83068936;world;-4.88E-06;1.66E-05;3.08E-05;-3.82E-05;-2.59E-05;-1.66E-05;1
2024/05/03/13:02:46.093803;104214;1714766566;93167666;world;4.29E-05;5.57E-05;-1.90E-05;-0.000186472;-9.14E-05;-0.000179449;1
2024/05/03/13:02:46.113444;104215;1714766566;113089518;world;-1.88E-05;5.95E-05;1.53E-05;-6.80E-05;1.71E-05;-3.44E-05;1
2024/05/03/13:02:46.123574;104216;1714766566;123246717;world;-1.04E-05;4.89E-05;-4.05E-06;-1.78E-05;9.83E-05;3.08E-06;1
2024/05/03/13:02:46.143662;104217;1714766566;143330123;world;4.51E-05;7.85E-05;-3.11E-05;-0.000183232;-6.95E-05;-0.000171753;1
2024/05/03/13:02:46.163573;104218;1714766566;163256865;world;3.30E-05;6.70E-05;-8.17E-06;-0.000204253;7.04E-06;-9.42E-05;1
2024/05/03/13:02:46.173576;104219;1714766566;173223947;world;-1.53E-07;1.98E-05;-7.27E-07;-4.08E-05;8.51E-05;-8.36E-06;1
2024/05/03/13:02:46.183498;104220;1714766566;183199567;world;-5.11E-05;4.60E-05;9.45E-06;-7.14E-05;7.58E-06;5.56E-05;1
2024/05/03/13:02:46.203738;104221;1714766566;203260882;world;-1.06E-05;3.91E-05;-9.10E-06;-0.000230275;3.20E-05;-2.05E-05;1
2024/05/03/13:02:46.223177;104222;1714766566;222869575;world;-1.96E-06;4.22E-05;4.17E-05;-7.00E-05;1.51E-05;-1.30E-05;1
