time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/12:43:33.573450;31843;1714765413;573105335;world;-2.41E-05;-2.56E-05;2.73E-05;-9.39E-05;-7.04E-05;-8.31E-05;1
2024/05/03/12:43:33.585057;31844;1714765413;584717835;world;-8.92E-06;-4.91E-05;8.83E-06;-8.77E-05;-4.45E-05;-0.000101567;1
2024/05/03/12:43:33.613290;31845;1714765413;612898683;world;-3.18E-05;-1.44E-05;2.39E-05;-6.06E-05;-4.59E-05;-1.19E-05;1
2024/05/03/12:43:33.623606;31846;1714765413;623278353;world;1.84E-06;-1.13E-05;5.07E-05;0.000102393;-2.33E-05;-2.21E-05;1
2024/05/03/12:43:33.643823;31847;1714765413;643501636;world;1.52E-05;-7.03E-06;4.98E-05;0.000167165;3.11E-05;-6.80E-06;1
2024/05/03/12:43:33.653340;31848;1714765413;652969244;world;1.58E-05;-1.16E-05;1.48E-05;8.97E-05;8.27E-07;-1.94E-05;1
2024/05/03/12:43:33.663582;31849;1714765413;663273346;world;2.81E-06;-3.32E-05;2.61E-05;-5.06E-05;-9.13E-05;-2.86E-05;1
2024/05/03/12:43:33.683620;31850;1714765413;683300250;world;-3.24E-05;-3.30E-05;4.56E-05;-0.000172732;-0.000138403;-7.34E-05;1
2024/05/03/12:43:33.693377;31851;1714765413;693009551;world;-3.24E-05;-3.14E-05;3.82E-05;-0.000113145;-6.38E-05;-7.09E-05;1
2024/05/03/12:43:33.713237;31852;1714765413;712927282;world;-9.85E-06;-3.33E-05;2.13E-05;-3.24E-05;-3.14E-05;-6.23E-05;1
2024/05/03/12:43:33.753361;31853;1714765413;752967316;world;-5.86E-06;-2.77E-05;4.67E-05;-6.20E-05;-9.79E-05;-8.21E-05;1
2024/05/03/12:43:33.753400;31855;1714765413;753019934;world;-2.26E-05;-2.27E-05;3.67E-05;-9.72E-05;-6.97E-05;-4.72E-05;1
2024/05/03/12:43:33.773722;31856;1714765413;773093778;world;4.08E-06;-1.19E-05;3.37E-05;0.000160979;-8.57E-06;7.66E-06;1
2024/05/03/12:43:33.793847;31857;1714765413;793432687;world;1.56E-05;-1.82E-05;2.71E-05;0.000129291;3.62E-05;3.87E-05;1
2024/05/03/12:43:33.813643;31858;1714765413;813343615;world;-1.71E-05;-1.69E-05;4.17E-05;6.56E-06;3.50E-05;-2.22E-05;1
2024/05/03/12:43:33.823529;31859;1714765413;823234133;world;-3.16E-05;-2.28E-05;3.01E-05;-0.000109865;-8.93E-05;-9.05E-05;1
2024/05/03/12:43:33.853510;31860;1714765413;853018296;world;-6.87E-06;-3.39E-05;3.40E-05;7.49E-07;-6.71E-05;-8.95E-05;1
2024/05/03/12:43:33.853539;31861;1714765413;853063811;world;-2.26E-05;-2.45E-05;3.07E-05;-3.30E-06;-4.45E-05;-3.67E-05;1
2024/05/03/12:43:33.863784;31862;1714765413;863355299;world;-8.81E-06;-2.46E-05;5.47E-05;1.14E-05;-3.14E-05;-5.85E-05;1
2024/05/03/12:43:33.883681;31863;1714765413;883396311;world;-6.93E-05;-4.05E-05;9.23E-06;-0.000231923;-6.85E-05;-5.54E-05;1
2024/05/03/12:43:33.903579;31864;1714765413;903260428;world;-3.81E-05;-2.30E-05;8.42E-06;-0.000175044;-4.65E-05;-3.69E-05;1
2024/05/03/12:43:33.913594;31865;1714765413;913326279;world;-1.54E-05;-3.35E-05;3.17E-05;-0.000133413;-0.000108174;-8.53E-05;1
2024/05/03/12:43:33.933437;31866;1714765413;933096300;world;-2.98E-05;-3.71E-05;2.67E-05;-0.000169372;-9.24E-05;-4.04E-05;1
2024/05/03/12:43:33.953267;31867;1714765413;952955991;world;-6.10E-05;-3.06E-05;3.85E-05;-0.000232965;-0.000115725;-7.01E-05;1
2024/05/03/12:43:33.963698;31868;1714765413;963378183;world;-5.68E-05;-3.44E-05;1.65E-05;-0.000148261;-4.83E-05;-5.80E-05;1
2024/05/03/12:43:33.973401;31869;1714765413;973136049;world;-1.05E-05;-4.29E-05;1.17E-05;-0.000140492;-5.73E-05;-4.04E-05;1
2024/05/03/12:43:33.993254;31870;1714765413;992928572;world;-4.03E-05;-3.00E-05;3.62E-05;-0.0001327;-7.90E-05;-5.08E-05;1
2024/05/03/12:43:34.023290;31871;1714765414;22947946;world;-8.90E-06;-7.38E-06;2.99E-05;5.52E-05;-1.53E-05;-2.41E-05;1
2024/05/03/12:43:34.023324;31872;1714765414;22990856;world;-5.26E-06;-2.42E-05;3.50E-05;4.69E-05;-1.15E-05;-1.68E-05;1
2024/05/03/12:43:34.053347;31873;1714765414;52940511;world;3.14E-05;-2.04E-05;3.96E-05;0.000106392;3.25E-06;8.75E-06;1
2024/05/03/12:43:34.053376;31874;1714765414;52984053;world;-3.97E-05;-5.96E-05;1.46E-05;-0.000155389;-5.12E-05;-6.56E-05;1
2024/05/03/12:43:34.073468;31875;1714765414;73156961;world;-3.79E-05;-3.48E-05;3.63E-05;-0.000255613;-0.000138939;-8.25E-05;1
2024/05/03/12:43:34.083201;31876;1714765414;82864097;world;-3.59E-05;-4.36E-05;1.27E-05;-0.000214756;-7.12E-05;-7.05E-05;1
2024/05/03/12:43:34.103399;31877;1714765414;102958269;world;-8.51E-06;-2.88E-05;2.34E-05;-9.12E-05;-4.29E-05;-6.29E-05;1
2024/05/03/12:43:34.123317;31878;1714765414;122999501;world;-1.77E-05;-5.37E-05;3.57E-05;-0.00012937;-0.000100006;-0.000120658;1
2024/05/03/12:43:34.133475;31879;1714765414;133155165;world;-5.03E-05;-3.04E-05;2.92E-05;-0.000163811;-0.000105444;-4.46E-05;1
2024/05/03/12:43:34.164214;31880;1714765414;163063294;world;-1.55E-05;-1.92E-05;1.83E-05;-2.19E-05;1.32E-06;-9.90E-06;1
2024/05/03/12:43:34.164250;31881;1714765414;163099281;world;-6.65E-06;-3.09E-05;4.71E-05;-4.50E-05;-9.73E-05;-0.000100683;1
2024/05/03/12:43:34.183709;31882;1714765414;183344995;world;-1.53E-05;-2.30E-05;3.87E-05;-0.00013086;-9.75E-05;-5.89E-05;1
2024/05/03/12:43:34.203554;31883;1714765414;203159484;world;-2.02E-05;-2.78E-05;4.02E-05;-7.90E-05;-7.49E-05;-5.49E-05;1
