time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:18:14.988957;185335;1714767495;17928262;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.610107421875, -0.0015339808305725455, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 21.520000457763672, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.004540;185336;1714767495;33883872;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 37.65999984741211, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.023571;185337;1714767495;50030353;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.610107421875, -0.003067961661145091, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -59.18000030517578, 5.380000114440918, 10.760000228881836, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.036952;185338;1714767495;65993242;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09375, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 53.80000305175781, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.055809;185339;1714767495;81914797;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09228515625, 0.0, 2566.966552734375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 32.279998779296875, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.071495;185340;1714767495;97894445;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 13.450000762939453, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.084709;185341;1714767495;113910167;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09375, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 32.279998779296875, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.102015;185342;1714767495;130252240;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.608642578125, -0.003067961661145091, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -59.18000030517578, 5.380000114440918, 29.59000015258789, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.118792;185343;1714767495;145935184;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.610107421875, -0.0015339808305725455, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 32.279998779296875, 0.0, 0.0, -21.520000457763672)
2024/05/03/13:18:15.132795;185344;1714767495;161940814;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2399.845458984375, 0.006135923322290182, 2562.610107421875, -0.0015339808305725455, 2398.09228515625, 0.0, 2566.968017578125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 102.22000122070312, -61.87000274658203, 5.380000114440918, 37.65999984741211, 0.0, 0.0, -21.520000457763672)
