time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:37:52.763899;238425;1714768672;762884647;world;-7.89E-06;1.12E-05;7.26E-07;-8.53E-05;-0.000133358;5.40E-05;1
2024/05/03/13:37:52.773313;238426;1714768672;772955520;world;4.05E-06;1.34E-05;1.56E-05;2.21E-05;-0.000131454;-5.12E-06;1
2024/05/03/13:37:52.793620;238427;1714768672;793214067;world;-2.69E-05;3.55E-06;-1.56E-05;-1.65E-05;-6.31E-05;1.49E-05;1
2024/05/03/13:37:52.803880;238428;1714768672;803135912;world;5.10E-06;9.85E-06;6.97E-06;-7.22E-06;-0.000133042;1.11E-05;1
2024/05/03/13:37:52.823728;238429;1714768672;823249470;world;-7.74E-06;1.24E-05;-2.56E-05;4.38E-05;-4.77E-05;1.01E-05;1
2024/05/03/13:37:52.843586;238430;1714768672;843157447;world;-2.33E-05;-5.25E-06;-1.59E-05;-3.27E-05;-5.94E-05;6.32E-06;1
2024/05/03/13:37:52.863294;238431;1714768672;862960708;world;-3.57E-05;2.59E-06;-1.46E-05;-4.64E-06;-6.30E-05;2.54E-05;1
2024/05/03/13:37:52.873281;238432;1714768672;872932535;world;-2.13E-05;-1.18E-05;-2.60E-05;1.15E-05;-7.47E-05;1.56E-06;1
2024/05/03/13:37:52.883229;238433;1714768672;882960447;world;-8.06E-06;6.41E-06;-1.09E-05;-1.55E-05;-7.55E-05;5.37E-06;1
2024/05/03/13:37:52.904340;238434;1714768672;903069086;world;5.66E-06;1.25E-06;-3.92E-06;5.89E-05;-6.09E-05;5.38E-06;1
2024/05/03/13:37:52.913318;238435;1714768672;912960372;world;-1.59E-05;3.00E-06;-8.83E-06;-5.62E-06;-0.00011467;1.59E-05;1
2024/05/03/13:37:52.943618;238436;1714768672;942927146;world;-2.33E-05;3.00E-06;-1.31E-05;2.28E-06;-7.23E-05;1.20E-05;1
2024/05/03/13:37:52.943650;238437;1714768672;942964195;world;-3.38E-06;7.57E-06;-1.73E-05;3.12E-05;-7.83E-05;1.97E-05;1
2024/05/03/13:37:52.963699;238438;1714768672;963324473;world;1.52E-05;3.44E-06;1.67E-05;-2.82E-05;-0.000170786;1.30E-05;1
2024/05/03/13:37:52.973430;238439;1714768672;973132646;world;6.44E-06;-1.18E-05;-9.57E-06;-2.68E-07;-7.85E-05;1.20E-05;1
2024/05/03/13:37:52.993304;238440;1714768672;992980019;world;2.95E-05;-5.27E-06;-4.74E-06;7.28E-05;-6.10E-05;-3.45E-07;1
2024/05/03/13:37:53.013599;238441;1714768673;13281518;world;5.52E-06;7.40E-06;9.71E-06;-0.000101351;-0.000166472;5.97E-05;1
2024/05/03/13:37:53.023685;238442;1714768673;22939972;world;1.39E-05;-2.89E-06;-7.61E-06;6.96E-05;-2.26E-05;-2.04E-05;1
2024/05/03/13:37:53.043525;238443;1714768673;43200013;world;-1.55E-05;-1.12E-05;-1.42E-05;-3.85E-05;-5.81E-05;-9.89E-06;1
2024/05/03/13:37:53.083400;238444;1714768673;83100094;world;-2.50E-05;-2.11E-06;-1.66E-05;1.09E-05;-7.80E-05;-1.27E-05;1
2024/05/03/13:37:53.093631;238445;1714768673;93300086;world;-4.03E-06;1.21E-05;9.93E-06;-3.48E-05;-0.000142808;3.78E-05;1
2024/05/03/13:37:53.093656;238446;1714768673;93336333;world;-1.15E-05;1.89E-06;2.00E-05;-6.26E-05;-0.000189457;1.78E-05;1
2024/05/03/13:37:53.103606;238447;1714768673;103275558;world;-6.43E-06;1.03E-05;1.23E-05;-3.81E-05;-0.000169514;6.26E-05;1
