time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:22:36.194571;201661;1714767756;224392310;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.931884765625, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.210401;201662;1714767756;240374013;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.931884765625, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 8.069999694824219, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.226336;201663;1714767756;256329494;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 13.450000762939453, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.253457;201664;1714767756;272384012;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 5.380000114440918, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.258967;201665;1714767756;288374660;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 2.690000057220459, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.275192;201666;1714767756;304343456;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 13.450000762939453, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.289562;201667;1714767756;320354770;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 21.520000457763672, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.305727;201668;1714767756;336363400;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.931884765625, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 53.80000305175781, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.322605;201669;1714767756;352361492;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 61.87000274658203, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.337675;201670;1714767756;368336418;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 72.6300048828125, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.355727;201671;1714767756;384320176;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 59.18000030517578, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.377080;201672;1714767756;400386343;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 78.01000213623047, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.386129;201673;1714767756;416373990;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 53.80000305175781, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.401625;201674;1714767756;432382323;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 32.279998779296875, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.417649;201675;1714767756;448335360;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -64.55999755859375, 5.380000114440918, 18.829999923706055, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.434307;201676;1714767756;464430915;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -64.55999755859375, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.458180;201677;1714767756;480374582;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -64.55999755859375, 5.380000114440918, -2.690000057220459, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.466006;201678;1714767756;496345303;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 8.069999694824219, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.489660;201679;1714767756;512386248;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 5.380000114440918, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.497387;201680;1714767756;528353692;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 5.380000114440918, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.514070;201681;1714767756;544282617;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 16.139999389648438, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.529480;201682;1714767756;560297376;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 13.450000762939453, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.546148;201683;1714767756;576287487;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 32.279998779296875, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.560762;201684;1714767756;592304764;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.161865234375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 48.42000198364258, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.579524;201685;1714767756;608382153;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0015339808305725455, 2768.161865234375);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 48.42000198364258, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.595361;201686;1714767756;625855412;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 29.59000015258789, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.609852;201687;1714767756;640539319;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 5.380000114440918, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.626493;201688;1714767756;656361466;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 61.87000274658203, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.640940;201689;1714767756;672338911;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 29.59000015258789, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.663474;201690;1714767756;688378077;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.673662;201691;1714767756;704373188;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.692830;201692;1714767756;720337687;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 10.760000228881836, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.706549;201693;1714767756;736361131;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 21.520000457763672, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.720643;201694;1714767756;752317372;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, 8.069999694824219, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.737624;201695;1714767756;768322631;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -61.87000274658203, 5.380000114440918, -2.690000057220459, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.765352;201696;1714767756;784422352;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, -2.690000057220459, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.770443;201697;1714767756;800353389;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.003067961661145091, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, 29.59000015258789, -2.690000057220459, 0.0, 0.0)
2024/05/03/13:22:36.789090;201698;1714767756;816437833;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2710.608642578125, 0.006135923322290182, 2763.9052734375, -0.0015339808305725455, 2708.933349609375, 0.0, 2768.16357421875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 34.970001220703125, -67.25, 5.380000114440918, -5.380000114440918, -2.690000057220459, 0.0, 0.0)
