time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/12:49:08.895227;76199;1714765748;905549700;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.572330355644226, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 16.139999389648438, -13.450000762939453)
2024/05/03/12:49:08.899805;76200;1714765748;921613735;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.572330355644226, 949.4221801757812, 1.572330355644226, 949.508056640625, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 16.139999389648438, -13.450000762939453)
2024/05/03/12:49:08.917207;76201;1714765748;937678844;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.5707963705062866, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 16.139999389648438, -13.450000762939453)
2024/05/03/12:49:08.932965;76202;1714765748;953616323;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.5707963705062866, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:08.950221;76203;1714765748;969645006;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.572330355644226, 951.5651245117188, 1.572330355644226, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:08.970976;76204;1714765748;985678077;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.5707963705062866, 949.4237060546875, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:08.980927;76205;1714765749;1645704;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.572330355644226, 951.5651245117188, 1.572330355644226, 949.4237060546875, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:09.000494;76206;1714765749;17569832;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.572330355644226, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.0516967773438);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:09.013727;76207;1714765749;33671940;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.5707963705062866, 951.5651245117188, 1.5707963705062866, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 13.450000762939453, -13.450000762939453)
2024/05/03/12:49:09.029137;76208;1714765749;49688475;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(1.572330355644226, 951.5651245117188, 1.5707963705062866, 949.4221801757812, 1.572330355644226, 949.5095825195312, 1.5692623853683472, 954.05322265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 29.59000015258789, 0.0, 0.0, 0.0, 0.0, 16.139999389648438, -13.450000762939453)
