time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:35:30.813632;229341;1714768530;813279216;world;-1.72E-05;2.87E-05;-1.41E-05;1.88E-05;1.01E-06;-1.07E-05;1
2024/05/03/13:35:30.843551;229342;1714768530;843221374;world;-1.64E-05;1.04E-05;-8.58E-06;-2.62E-05;6.90E-05;1.22E-05;1
2024/05/03/13:35:30.843590;229343;1714768530;843255026;world;-6.70E-06;2.82E-05;-5.06E-06;4.99E-05;4.78E-05;2.99E-05;1
2024/05/03/13:35:30.853397;229344;1714768530;853063872;world;-1.10E-05;2.94E-05;-1.26E-05;5.00E-05;4.66E-05;4.32E-05;1
2024/05/03/13:35:30.873678;229345;1714768530;873222938;world;-6.84E-06;1.63E-05;-1.58E-05;-1.46E-06;4.63E-05;2.61E-05;1
2024/05/03/13:35:30.883586;229346;1714768530;883148050;world;8.33E-06;2.46E-05;-1.93E-05;3.41E-05;7.82E-05;2.03E-05;1
2024/05/03/13:35:30.903471;229347;1714768530;903140396;world;-2.05E-05;7.21E-06;-1.59E-05;-3.90E-05;6.08E-05;1.51E-05;1
2024/05/03/13:35:30.913644;229348;1714768530;913224849;world;-9.40E-06;1.41E-05;-1.19E-05;1.01E-05;4.70E-05;6.50E-06;1
2024/05/03/13:35:30.953605;229349;1714768530;953275151;world;-1.66E-05;3.55E-05;7.04E-06;-1.98E-05;-7.32E-05;3.18E-05;1
2024/05/03/13:35:30.953632;229350;1714768530;953307261;world;-1.49E-05;1.51E-05;-1.44E-05;3.14E-06;3.81E-05;2.41E-05;1
2024/05/03/13:35:30.973736;229351;1714768530;973339108;world;4.66E-06;2.41E-05;3.64E-06;6.32E-05;1.29E-05;3.08E-05;1
2024/05/03/13:35:30.983681;229352;1714768530;983388461;world;2.53E-05;2.40E-05;-3.50E-06;9.74E-05;5.53E-05;6.71E-05;1
2024/05/03/13:35:30.993374;229353;1714768530;993110525;world;-1.14E-05;3.09E-05;-1.86E-05;6.68E-05;5.42E-05;2.37E-05;1
2024/05/03/13:35:31.013155;229354;1714768531;12899424;world;-1.25E-05;3.50E-05;-1.50E-05;6.95E-05;8.80E-05;6.42E-05;1
2024/05/03/13:35:31.063371;229355;1714768531;62961592;world;-2.32E-05;1.04E-05;-1.63E-05;2.18E-05;2.41E-05;-2.21E-05;1
2024/05/03/13:35:31.063399;229357;1714768531;63008640;world;-8.75E-06;2.75E-05;-4.45E-06;8.66E-05;4.21E-05;5.85E-05;1
2024/05/03/13:35:31.073546;229358;1714768531;73092517;world;5.98E-06;3.13E-05;-7.91E-06;8.40E-05;5.10E-05;2.51E-05;1
2024/05/03/13:35:31.083258;229359;1714768531;82892816;world;-6.53E-06;1.67E-05;-3.75E-06;8.18E-06;3.42E-05;4.23E-05;1
2024/05/03/13:35:31.103418;229360;1714768531;103104110;world;-6.88E-06;2.66E-05;-7.32E-06;6.19E-05;2.62E-05;2.32E-05;1
2024/05/03/13:35:31.123419;229361;1714768531;123180906;world;-3.23E-05;2.37E-05;-5.65E-06;4.70E-05;5.50E-05;3.99E-05;1
