time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:02:45.758323;127255;1714766565;771809735;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.0015339808305725455, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 64.55999755859375, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.767786;127256;1714766565;787795790;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 59.18000030517578, 5.380000114440918, -13.450000762939453, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.779666;127257;1714766565;803822215;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.006135923322290182, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 56.4900016784668, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.796162;127258;1714766565;819730955;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 61.87000274658203, 5.380000114440918, -16.139999389648438, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.812696;127259;1714766565;835821677;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.2315673828125, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 56.4900016784668, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.832261;127260;1714766565;851837694;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 61.87000274658203, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.845059;127261;1714766565;867773453;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.006135923322290182, 1895.035400390625, 0.0015339808305725455, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 59.18000030517578, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.861600;127262;1714766565;883791748;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 56.4900016784668, 5.380000114440918, -18.829999923706055, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.878716;127263;1714766565;899807544;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 1787.348388671875, -0.004601942375302315, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 59.18000030517578, 5.380000114440918, -13.450000762939453, -2.690000057220459, 2.690000057220459, 0.0)
2024/05/03/13:02:45.892823;127264;1714766565;915832747;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 1787.348388671875, -0.006135923322290182, 1895.035400390625, 0.003067961661145091, 1785.22998046875, 0.0, 1899.358154296875);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 34.970001220703125, 61.87000274658203, 5.380000114440918, -13.450000762939453, -2.690000057220459, 2.690000057220459, 0.0)
