time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:39:15.993401;243751;1714768755;993004069;world;1.49E-05;2.09E-05;1.37E-06;5.20E-05;-5.12E-06;-3.84E-05;-1
2024/05/03/13:39:15.993453;243752;1714768755;993041278;world;-5.33E-06;8.28E-06;-1.51E-05;4.22E-06;-3.29E-05;1.21E-05;-1
2024/05/03/13:39:16.023701;243753;1714768756;23334752;world;7.56E-07;8.73E-06;-3.23E-06;6.65E-06;-1.72E-05;-1.17E-05;-1
2024/05/03/13:39:16.023744;243754;1714768756;23372773;world;9.17E-06;1.67E-05;-4.15E-07;4.40E-06;-6.75E-05;-3.65E-05;-1
2024/05/03/13:39:16.043392;243755;1714768756;42944630;world;-1.11E-06;1.62E-05;-8.05E-06;2.11E-05;-2.71E-05;3.54E-06;-1
2024/05/03/13:39:16.053399;243756;1714768756;53059477;world;-1.57E-05;7.96E-07;-1.50E-05;9.69E-05;-5.98E-05;-8.87E-06;-1
2024/05/03/13:39:16.073574;243757;1714768756;73274533;world;7.72E-06;9.19E-06;-6.64E-06;-8.41E-06;-7.86E-05;-6.00E-06;-1
2024/05/03/13:39:16.093449;243758;1714768756;93165123;world;5.27E-06;1.18E-05;-1.11E-05;7.73E-05;-8.36E-07;-1.46E-05;-1
2024/05/03/13:39:16.113204;243759;1714768756;112887511;world;5.38E-06;9.58E-06;-3.29E-06;7.66E-05;-4.83E-05;-1.08E-05;-1
2024/05/03/13:39:16.123584;243760;1714768756;123290563;world;-9.35E-07;1.35E-05;-1.26E-06;4.92E-05;-9.92E-05;-3.18E-05;-1
2024/05/03/13:39:16.133401;243761;1714768756;133034020;world;-2.13E-06;5.13E-06;-2.90E-06;6.26E-05;-4.80E-05;-3.14E-06;-1
2024/05/03/13:39:16.153597;243762;1714768756;153313715;world;4.90E-06;1.15E-05;-5.16E-06;8.32E-05;-1.93E-05;-4.13E-05;-1
2024/05/03/13:39:16.163511;243763;1714768756;163176336;world;-4.99E-06;7.56E-06;3.33E-06;7.24E-05;-3.97E-05;-3.65E-05;-1
2024/05/03/13:39:16.193274;243764;1714768756;192954165;world;1.16E-05;1.08E-05;-4.27E-07;4.65E-05;-0.000131003;-3.27E-05;-1
2024/05/03/13:39:16.193311;243765;1714768756;192990152;world;1.01E-05;8.52E-06;-4.29E-06;9.19E-05;-7.64E-05;-4.51E-05;-1
