time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/12:58:22.973311;88541;1714766302;972961100;world;2.99E-05;5.11E-05;-5.67E-05;-8.12E-05;4.32E-05;2.30E-05;-1
2024/05/03/12:58:22.983838;88542;1714766302;982900749;world;1.10E-05;3.44E-05;-5.62E-05;-4.66E-06;2.81E-05;2.35E-05;-1
2024/05/03/12:58:23.003495;88543;1714766303;3050174;world;1.57E-06;3.31E-05;-4.86E-05;7.23E-06;1.54E-05;-1.70E-05;-1
2024/05/03/12:58:23.013661;88544;1714766303;13230853;world;2.03E-05;1.81E-05;-4.61E-05;-1.92E-05;-2.64E-05;4.62E-05;-1
2024/05/03/12:58:23.023665;88545;1714766303;23313259;world;1.83E-05;6.10E-05;-7.23E-05;-2.83E-05;0.000134184;5.98E-05;-1
2024/05/03/12:58:23.043505;88546;1714766303;43190401;world;1.41E-05;5.47E-05;-5.98E-05;1.77E-05;7.96E-05;3.38E-05;-1
2024/05/03/12:58:23.073378;88547;1714766303;73063395;world;-2.44E-06;4.49E-05;-6.60E-05;8.45E-05;4.84E-05;2.76E-05;-1
2024/05/03/12:58:23.073407;88548;1714766303;73100725;world;-5.22E-06;6.33E-05;-7.83E-05;4.13E-05;0.000153004;7.86E-05;-1
2024/05/03/12:58:23.103347;88549;1714766303;103028062;world;1.22E-05;2.04E-05;-5.86E-05;-0.000127707;0.000110193;-2.44E-05;-1
2024/05/03/12:58:23.103391;88550;1714766303;103194034;world;-1.61E-05;4.46E-05;-4.09E-05;-2.61E-05;8.34E-06;-2.04E-05;-1
2024/05/03/12:58:23.123959;88551;1714766303;123539386;world;4.84E-06;4.95E-05;-5.19E-05;1.43E-05;0.000116851;8.88E-05;-1
2024/05/03/12:58:23.133534;88552;1714766303;133189471;world;1.94E-05;2.33E-05;-3.64E-05;-8.35E-05;-1.75E-05;3.23E-05;-1
