time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:37:52.889463;258954;1714768672;942846011;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7838642001152039, 2904.689453125, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -10.760000228881836, 5.380000114440918, -5.380000114440918, -2.690000057220459, 2.690000057220459, -10.760000228881836)
2024/05/03/13:37:52.905030;258955;1714768672;958837177;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7838642001152039, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -10.760000228881836, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:52.921255;258956;1714768672;974819066;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7853981852531433, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.1533203125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -8.069999694824219, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:52.938404;258957;1714768672;990821436;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7838642001152039, 2904.689453125, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -10.760000228881836, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:52.959162;258958;1714768673;6777843;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7853981852531433, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7838642001152039, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -8.069999694824219, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:52.972422;258959;1714768673;22840398;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7853981852531433, 2904.689453125, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -10.760000228881836, 5.380000114440918, -8.069999694824219, -2.690000057220459, 2.690000057220459, -10.760000228881836)
2024/05/03/13:37:52.985486;258960;1714768673;38869842;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2826.09423828125, -0.7853981852531433, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.1533203125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -13.450000762939453, 5.380000114440918, -5.380000114440918, -2.690000057220459, 2.690000057220459, -10.760000228881836)
2024/05/03/13:37:53.001703;258961;1714768673;55116879;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7838642001152039, 2826.09423828125, -0.7838642001152039, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -8.069999694824219, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:53.017515;258962;1714768673;70873249;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7853981852531433, 2904.689453125, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.1533203125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 99.52999877929688, -10.760000228881836, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, -10.760000228881836)
2024/05/03/13:37:53.039815;258963;1714768673;87007508;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.7853981852531433, 2826.09423828125, -0.7838642001152039, 2904.687744140625, -0.7853981852531433, 2824.44677734375, 0.7853981852531433, 2909.15478515625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(8.069999694824219, 99.52999877929688, -13.450000762939453, 5.380000114440918, -10.760000228881836, -2.690000057220459, 5.380000114440918, -10.760000228881836)
