time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/14:04:47.386181;6442;1714770286;948619205;world;-1.01E-05;-6.90E-06;-8.68E-06;6.18E-05;2.95E-05;-1.84E-05;-1
2024/05/03/14:04:47.386202;6447;1714770286;948697747;world;-2.02E-05;-1.17E-05;-1.02E-05;0.000128745;5.07E-05;-5.04E-06;-1
2024/05/03/14:04:47.386204;6448;1714770286;948831526;world;-1.42E-05;-8.18E-06;-8.47E-06;4.65E-05;4.64E-07;-8.86E-06;-1
2024/05/03/14:04:47.386208;6450;1714770286;948846805;world;-1.32E-05;-1.58E-05;-1.53E-05;7.03E-05;1.53E-05;1.12E-05;-1
2024/05/03/14:04:47.386210;6451;1714770287;98654187;world;-1.71E-05;-2.50E-06;2.74E-06;0.000122078;4.47E-05;-1.46E-05;-1
2024/05/03/14:04:47.386213;6458;1714770287;98748049;world;-1.79E-05;-2.04E-05;-1.17E-05;9.04E-05;7.91E-05;1.21E-05;-1
2024/05/03/14:04:47.386214;6459;1714770287;98840427;world;-9.62E-06;-1.57E-05;-1.11E-05;7.80E-05;5.99E-05;-2.60E-05;-1
2024/05/03/14:04:47.386218;6460;1714770287;108657322;world;-1.04E-05;-7.65E-06;-6.05E-06;5.50E-05;2.30E-05;2.58E-06;-1
2024/05/03/14:04:47.386900;6461;1714770287;238725730;world;-1.47E-05;-2.26E-05;-8.07E-06;0.000101748;4.77E-05;-1.27E-05;-1
2024/05/03/14:04:47.386903;6467;1714770287;238810183;world;-1.01E-05;-7.03E-06;-1.31E-05;6.06E-05;4.48E-05;-4.61E-05;-1
2024/05/03/14:04:47.386908;6468;1714770287;238904886;world;-1.27E-05;8.50E-06;-2.10E-05;7.14E-05;1.03E-05;-1.36E-05;-1
2024/05/03/14:04:47.386918;6469;1714770287;249161903;world;-2.73E-05;-4.68E-06;-1.19E-06;0.000119902;5.57E-05;-5.99E-06;-1
2024/05/03/14:04:47.386920;6470;1714770287;378933695;world;-1.01E-05;-2.69E-06;-6.81E-06;7.91E-05;3.36E-05;-2.03E-05;-1
2024/05/03/14:04:47.386935;6476;1714770287;379019400;world;-1.77E-05;-9.43E-06;-2.55E-05;8.05E-05;3.28E-06;-2.19E-06;-1
2024/05/03/14:04:47.387314;6477;1714770287;379024941;world;-1.64E-05;2.61E-06;-6.50E-06;6.64E-05;3.61E-05;-3.27E-05;-1
2024/05/03/14:04:47.389210;6478;1714770287;388976075;world;-6.98E-06;6.89E-06;-7.42E-06;6.46E-05;3.49E-05;-8.86E-06;-1
2024/05/03/14:04:47.409324;6479;1714770287;408884657;world;-1.16E-05;-3.11E-06;-1.96E-05;6.59E-05;-1.65E-05;-1.74E-05;-1
2024/05/03/14:04:47.530070;6480;1714770287;529724239;world;-1.15E-05;-4.69E-06;-9.48E-06;7.57E-05;7.62E-06;5.44E-06;-1
2024/05/03/14:04:47.530095;6487;1714770287;529803031;world;-1.26E-05;-1.45E-05;-1.72E-05;4.94E-05;1.66E-05;2.17E-05;-1
2024/05/03/14:04:47.539038;6488;1714770287;538715219;world;-2.47E-05;-8.13E-06;-1.03E-05;5.34E-05;3.30E-05;-3.14E-06;-1
2024/05/03/14:04:47.669201;6489;1714770287;668720783;world;-1.34E-06;-4.78E-06;-6.91E-06;1.64E-06;8.04E-06;-1.84E-05;-1
2024/05/03/14:04:47.669228;6496;1714770287;668812380;world;-9.46E-06;-8.04E-06;1.76E-06;6.18E-05;2.69E-05;5.45E-06;-1
2024/05/03/14:04:47.769388;6497;1714770287;768934907;world;-2.23E-05;-1.28E-05;-1.68E-07;0.000139209;1.54E-05;3.41E-05;-1
2024/05/03/14:04:47.769416;6502;1714770287;769021684;world;-2.80E-05;-4.43E-05;6.35E-06;0.000166318;1.20E-05;-2.18E-06;-1
2024/05/03/14:04:47.779865;6503;1714770287;779368482;world;-2.01E-05;-5.60E-05;1.32E-05;0.00012856;1.16E-05;-2.70E-05;-1
2024/05/03/14:04:47.869157;6504;1714770287;868822411;world;-1.54E-05;-5.28E-05;2.45E-05;9.57E-05;9.00E-06;-4.51E-05;-1
2024/05/03/14:04:47.869163;6509;1714770287;868905050;world;-5.41E-06;-2.76E-05;2.92E-06;0.000130996;2.66E-05;-2.13E-05;-1
2024/05/03/14:04:47.969373;6510;1714770287;969049432;world;-5.68E-06;-2.07E-05;6.67E-06;0.000150483;1.03E-05;-6.95E-06;-1
2024/05/03/14:04:47.969379;6515;1714770287;969110119;world;-1.67E-05;-9.97E-06;-1.55E-05;6.82E-05;2.00E-05;-1.46E-05;-1
2024/05/03/14:04:47.979282;6516;1714770287;978545192;world;-2.00E-05;-2.02E-05;-4.56E-06;0.000100956;2.55E-05;1.98E-05;-1
2024/05/03/14:04:48.059364;6517;1714770288;58970838;world;-1.01E-05;-1.53E-05;6.66E-06;9.55E-05;4.56E-05;-2.98E-05;-1
2024/05/03/14:04:48.059397;6521;1714770288;59047336;world;-1.51E-05;-2.15E-05;1.05E-05;8.07E-05;2.29E-05;-3.94E-05;-1
2024/05/03/14:04:48.079149;6522;1714770288;78756785;world;4.78E-06;-1.76E-05;-2.71E-06;6.01E-05;3.83E-05;-3.94E-05;-1
2024/05/03/14:04:48.159250;6523;1714770288;158878169;world;2.60E-06;-7.50E-06;-1.29E-05;5.79E-05;5.33E-05;-1.84E-05;-1
2024/05/03/14:04:48.159278;6527;1714770288;158949707;world;-2.50E-05;-2.38E-05;-1.58E-05;1.20E-06;-1.81E-06;-4.09E-06;-1
2024/05/03/14:04:48.169274;6528;1714770288;169002849;world;-9.31E-06;-3.05E-05;-1.74E-06;9.41E-05;2.04E-05;-1.74E-05;-1
2024/05/03/14:04:48.288936;6529;1714770288;288571411;world;-1.56E-05;-1.76E-05;1.20E-05;0.000114142;9.05E-06;4.49E-06;-1
2024/05/03/14:04:48.288943;6535;1714770288;288655744;world;-2.75E-05;-6.49E-06;-4.52E-06;4.22E-05;4.98E-05;-2.51E-05;-1
2024/05/03/14:04:48.299007;6536;1714770288;298672999;world;-3.08E-05;-2.07E-05;-5.38E-06;9.44E-05;3.89E-05;-1.08E-05;-1
2024/05/03/14:04:48.309248;6537;1714770288;308857255;world;-1.44E-05;-2.48E-05;8.36E-08;6.40E-05;3.47E-05;-4.80E-05;-1
2024/05/03/14:04:48.410590;6538;1714770288;408970203;world;-1.97E-05;-4.13E-06;6.73E-06;4.04E-05;5.57E-05;-9.81E-06;-1
2024/05/03/14:04:48.410621;6541;1714770288;409040228;world;-2.65E-05;-2.75E-05;8.73E-06;7.29E-05;2.33E-05;-1.17E-05;-1
2024/05/03/14:04:48.419313;6542;1714770288;418691832;world;-1.02E-05;-3.24E-05;-2.02E-06;7.54E-05;6.61E-06;6.76E-07;-1
2024/05/03/14:04:48.419348;6543;1714770288;418732982;world;1.99E-07;-1.76E-05;-1.24E-07;5.04E-06;3.57E-05;-1.55E-05;-1
2024/05/03/14:04:48.429473;6544;1714770288;429075604;world;-2.17E-05;-1.11E-05;-9.03E-06;5.56E-05;4.04E-05;-5.04E-06;-1
2024/05/03/14:04:48.539279;6545;1714770288;538650075;world;-3.61E-06;-1.00E-06;4.45E-06;4.65E-05;-1.76E-07;-1.46E-05;-1
2024/05/03/14:04:48.539301;6550;1714770288;538737784;world;-1.36E-05;6.46E-06;1.17E-05;7.44E-05;3.11E-05;2.93E-05;-1
2024/05/03/14:04:48.539303;6551;1714770288;538855562;world;-8.27E-06;3.81E-06;-9.18E-06;6.11E-05;1.72E-05;2.58E-06;-1
2024/05/03/14:04:48.539306;6552;1714770288;538872084;world;-1.26E-05;-4.11E-06;-1.53E-05;7.30E-05;2.70E-05;-4.09E-06;-1
2024/05/03/14:04:48.669424;6553;1714770288;669035081;world;-6.81E-06;-1.18E-05;-1.03E-05;5.11E-05;-1.07E-05;1.63E-06;-1
2024/05/03/14:04:48.669450;6560;1714770288;669129974;world;-5.50E-06;-8.88E-06;-1.02E-05;3.18E-05;3.98E-05;-1.65E-05;-1
2024/05/03/14:04:48.790267;6561;1714770288;789868269;world;-2.15E-05;-6.51E-06;-2.54E-06;5.76E-05;4.25E-05;-2.89E-05;-1
2024/05/03/14:04:48.790297;6568;1714770288;789959234;world;4.92E-06;-1.27E-05;-1.61E-05;5.07E-05;-1.89E-05;-4.09E-06;-1
2024/05/03/14:04:48.980373;6569;1714770288;979073892;world;-9.00E-06;-1.29E-05;-1.32E-05;2.05E-05;1.96E-05;-2.19E-06;-1
2024/05/03/14:04:48.980398;6580;1714770288;979194004;world;6.07E-06;-4.98E-06;-1.18E-05;-2.88E-06;3.95E-05;-3.84E-05;-1
2024/05/03/14:04:48.999903;6581;1714770288;999022823;world;-1.29E-05;-3.84E-07;4.61E-07;0.000110236;2.57E-05;-6.00E-06;-1
2024/05/03/14:04:49.009113;6582;1714770289;8701777;world;-2.65E-06;-3.97E-06;-1.69E-05;6.01E-05;-4.43E-06;-1.36E-05;-1
2024/05/03/14:04:49.029567;6583;1714770289;29090481;world;-2.12E-06;-9.97E-06;3.46E-06;5.91E-05;3.09E-05;-1.46E-05;-1
2024/05/03/14:04:49.048948;6584;1714770289;48597806;world;6.48E-06;-3.73E-08;-6.36E-06;8.59E-05;2.60E-05;9.26E-06;-1
2024/05/03/14:04:49.059139;6585;1714770289;58841929;world;-9.43E-06;-9.37E-06;-1.83E-05;6.24E-05;3.66E-05;-1.84E-05;-1
2024/05/03/14:04:49.079391;6586;1714770289;79006202;world;-1.27E-05;-7.78E-06;-5.49E-06;7.83E-05;5.49E-05;-3.17E-05;-1
2024/05/03/14:04:49.098927;6587;1714770289;98529309;world;-9.51E-06;-5.80E-07;-8.15E-06;4.14E-05;6.00E-05;-3.65E-05;-1
2024/05/03/14:04:49.109074;6588;1714770289;108682423;world;-3.02E-06;5.27E-06;-1.80E-05;5.94E-06;1.49E-05;1.31E-05;-1
2024/05/03/14:04:49.129482;6589;1714770289;129030533;world;-6.84E-06;-7.00E-06;-1.88E-05;-1.12E-05;-1.66E-08;-1.84E-05;-1
2024/05/03/14:04:49.149322;6590;1714770289;148915168;world;-6.30E-06;-1.67E-05;-2.83E-05;9.08E-05;-1.50E-05;-1.55E-05;-1
2024/05/03/14:04:49.159457;6591;1714770289;159069475;world;-9.06E-06;-1.63E-06;-4.08E-06;4.68E-05;1.09E-05;-1.94E-05;-1
2024/05/03/14:04:49.169112;6592;1714770289;168623733;world;-6.34E-06;-1.00E-05;-2.47E-06;5.74E-05;1.70E-05;3.31E-05;-1
2024/05/03/14:04:49.189459;6593;1714770289;189000899;world;-4.94E-06;-9.77E-06;-2.14E-05;7.38E-05;1.14E-05;-3.17E-05;-1
2024/05/03/14:04:49.199178;6594;1714770289;198751557;world;-2.05E-05;-1.49E-05;-1.56E-05;0.000101079;8.73E-06;-7.91E-06;-1
2024/05/03/14:04:49.219510;6595;1714770289;219090638;world;-8.12E-06;-5.40E-06;-1.35E-05;7.53E-05;1.41E-05;-2.13E-05;-1
