time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/14:04:47.386842;9881;1714770287;206045607;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 2.690000057220459, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386852;9882;1714770287;222000641;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 34.970001220703125, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386857;9883;1714770287;237996600;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.745849609375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 26.900001525878906, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386862;9884;1714770287;253995688;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, -0.0015339808305725455, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 51.11000061035156, -2.690000057220459, 8.069999694824219, 0.0)
2024/05/03/14:04:47.386864;9885;1714770287;270051088;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.745849609375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 32.279998779296875, 5.380000114440918, -5.380000114440918, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386877;9886;1714770287;286174281;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 5.380000114440918, -2.690000057220459, 8.069999694824219, 0.0)
2024/05/03/14:04:47.386884;9887;1714770287;303361332;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 48.42000198364258, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386892;9888;1714770287;318310728;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.745849609375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 21.520000457763672, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.386903;9889;1714770287;334316797;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, 0.0, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 32.279998779296875, 5.380000114440918, 5.380000114440918, -2.690000057220459, 5.380000114440918, 0.0)
2024/05/03/14:04:47.403117;9890;1714770287;349988678;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2906.15283203125, -0.003067961661145091, 2824.74755859375, -0.0015339808305725455, 2904.2998046875, -0.0015339808305725455, 2829.283447265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 0.0, 34.970001220703125, 5.380000114440918, 2.690000057220459, -2.690000057220459, 5.380000114440918, 0.0)
