time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:18:14.963491;163054;1714767494;963170505;world;-1.47E-05;1.71E-05;-9.99E-06;-6.11E-05;5.99E-05;-1.73E-05;1
2024/05/03/13:18:14.973499;163055;1714767494;973203711;world;1.46E-05;1.74E-06;-2.49E-05;4.70E-05;1.26E-05;-7.80E-06;1
2024/05/03/13:18:14.993622;163056;1714767494;993295607;world;-6.48E-06;1.89E-05;-1.30E-06;-7.06E-05;7.50E-05;-4.94E-06;1
2024/05/03/13:18:15.013749;163057;1714767495;13383815;world;2.62E-06;3.09E-06;-2.84E-05;4.64E-05;-2.43E-05;2.03E-05;1
2024/05/03/13:18:15.033708;163058;1714767495;33314884;world;-1.04E-05;1.80E-05;-8.58E-06;-5.62E-05;4.19E-06;9.36E-06;1
2024/05/03/13:18:15.033751;163059;1714767495;33351383;world;-1.63E-05;1.22E-05;-5.55E-06;2.97E-06;2.49E-05;-2.31E-05;1
2024/05/03/13:18:15.063669;163060;1714767495;63282645;world;3.32E-07;2.09E-05;-5.81E-06;5.69E-06;-2.66E-06;2.32E-05;1
2024/05/03/13:18:15.073579;163061;1714767495;73299901;world;1.59E-05;1.85E-05;-2.13E-05;4.85E-05;6.35E-06;5.90E-05;1
2024/05/03/13:18:15.083437;163062;1714767495;83049987;world;8.92E-07;2.20E-05;-1.54E-05;1.02E-05;-3.22E-06;7.23E-05;1
2024/05/03/13:18:15.093207;163063;1714767495;92908135;world;-6.15E-08;1.22E-05;-2.06E-05;-2.86E-05;-1.86E-05;2.99E-05;1
2024/05/03/13:18:15.113557;163064;1714767495;113245656;world;1.34E-05;7.13E-06;-2.29E-05;3.53E-05;-2.35E-05;4.99E-05;1
2024/05/03/13:18:15.133456;163065;1714767495;133071787;world;-1.79E-05;1.42E-05;-8.75E-06;-6.26E-05;4.68E-05;-3.88E-05;1
2024/05/03/13:18:15.143718;163066;1714767495;143364377;world;1.36E-05;1.93E-05;-2.32E-05;2.03E-05;-3.12E-05;6.71E-05;1
2024/05/03/13:18:15.163501;163067;1714767495;163159675;world;6.18E-07;1.57E-05;-1.10E-05;-1.57E-06;2.88E-05;1.13E-05;1
2024/05/03/13:18:15.183268;163068;1714767495;182966090;world;-1.14E-05;2.38E-05;-2.30E-06;-1.15E-05;2.31E-05;1.84E-05;1
2024/05/03/13:18:15.193203;163069;1714767495;192901483;world;9.58E-06;1.75E-05;-1.02E-05;8.81E-07;-2.40E-06;3.84E-05;1
2024/05/03/13:18:15.203386;163070;1714767495;203124214;world;1.66E-05;6.88E-06;-2.29E-05;8.59E-05;3.91E-06;4.04E-05;1
2024/05/03/13:18:15.223232;163071;1714767495;222951909;world;8.62E-06;2.47E-05;-1.87E-05;-1.10E-05;2.47E-06;4.32E-05;1
2024/05/03/13:18:15.233512;163072;1714767495;233228102;world;4.45E-07;2.10E-06;-1.30E-05;-3.41E-05;1.58E-06;2.13E-05;1
2024/05/03/13:18:15.263370;163073;1714767495;263076339;world;1.07E-05;1.07E-05;-1.07E-05;-1.04E-05;-1.17E-05;4.23E-05;1
2024/05/03/13:18:15.263402;163074;1714767495;263115562;world;2.20E-05;2.32E-05;-3.61E-05;7.95E-05;-8.99E-05;8.47E-05;1
2024/05/03/13:18:15.283564;163075;1714767495;283283566;world;4.96E-06;1.19E-05;-1.78E-05;1.56E-05;1.04E-06;4.80E-05;1
2024/05/03/13:18:15.304352;163076;1714767495;304053238;world;1.77E-05;2.17E-05;-9.05E-07;5.10E-05;2.89E-05;2.80E-05;1
2024/05/03/13:18:15.313441;163077;1714767495;313082241;world;1.64E-05;1.56E-05;-1.45E-05;-7.10E-07;-3.45E-06;4.61E-05;1
2024/05/03/13:18:15.343343;163078;1714767495;342974833;world;-4.57E-06;2.44E-05;-3.29E-06;-4.17E-05;5.42E-05;-1.59E-05;1
2024/05/03/13:18:15.343351;163079;1714767495;343019927;world;2.31E-05;1.40E-05;-1.89E-05;4.84E-05;-1.41E-05;7.28E-05;1
2024/05/03/13:18:15.373479;163080;1714767495;373160994;world;6.25E-06;1.04E-05;-1.32E-05;8.11E-06;2.19E-06;-6.52E-07;1
2024/05/03/13:18:15.373506;163081;1714767495;373195158;world;8.12E-06;1.52E-05;-9.45E-06;8.46E-06;-1.60E-06;2.03E-05;1
2024/05/03/13:18:15.393258;163082;1714767495;392970555;world;1.42E-06;1.97E-05;-1.17E-05;-4.50E-05;5.62E-05;-1.13E-06;1
2024/05/03/13:18:15.413371;163083;1714767495;413055822;world;4.67E-06;1.10E-05;-1.59E-05;6.78E-06;-2.03E-07;1.51E-05;1
2024/05/03/13:18:15.423450;163084;1714767495;423225586;world;1.30E-05;8.26E-06;-1.48E-05;-1.46E-05;-5.36E-06;3.65E-05;1
2024/05/03/13:18:15.443242;163085;1714767495;442886628;world;-7.15E-06;2.24E-05;-1.03E-05;-1.36E-05;5.34E-05;7.93E-06;1
