time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/13:24:45.310908;209730;1714767885;323558582;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 24.21000099182129, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.315987;209731;1714767885;339572045;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.861572265625);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 26.900001525878906, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.324250;209732;1714767885;355562600;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.614013671875, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 18.829999923706055, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.341533;209733;1714767885;371549359;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 2.690000057220459, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.356780;209734;1714767885;387524321;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.614013671875, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -67.25, 5.380000114440918, 10.760000228881836, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.372971;209735;1714767885;403553358;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0015339808305725455, 2865.988525390625, 0.006135923322290182, 2864.614013671875, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 16.139999389648438, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.388024;209736;1714767885;419570302;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 24.21000099182129, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.406120;209737;1714767885;435534783;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.614013671875, -0.003067961661145091, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -67.25, 5.380000114440918, 43.040000915527344, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.419940;209738;1714767885;451542875;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -69.94000244140625, 5.380000114440918, 45.72999954223633, -5.380000114440918, 0.0, 0.0)
2024/05/03/13:24:45.436021;209739;1714767885;467551856;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 2865.988525390625, 0.006135923322290182, 2864.612548828125, -0.0015339808305725455, 2864.361083984375, 0.0, 2868.86328125);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 40.35000228881836, -67.25, 5.380000114440918, 18.829999923706055, -5.380000114440918, 0.0, 0.0)
