time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:20:04.663513;170075;1714767604;663173283;world;-4.19E-07;-1.55E-05;1.11E-05;-4.98E-08;-9.13E-06;1.62E-05;-1
2024/05/03/13:20:04.673585;170076;1714767604;673244028;world;-4.65E-06;-1.96E-05;2.04E-05;2.35E-05;-2.83E-05;4.68E-05;-1
2024/05/03/13:20:04.693436;170077;1714767604;693049280;world;-1.17E-05;-1.34E-05;1.93E-05;-9.88E-06;-1.94E-05;3.72E-05;-1
2024/05/03/13:20:04.713223;170078;1714767604;712895607;world;6.03E-07;-1.85E-05;1.51E-05;1.19E-05;-1.57E-05;2.77E-05;-1
2024/05/03/13:20:04.743953;170079;1714767604;743513739;world;1.88E-06;-1.87E-05;8.95E-06;1.46E-05;-2.83E-05;3.53E-05;-1
2024/05/03/13:20:04.753789;170080;1714767604;753397454;world;-7.74E-06;-1.90E-05;1.91E-05;4.30E-05;-2.17E-05;3.91E-05;-1
2024/05/03/13:20:04.803484;170081;1714767604;803146779;world;-1.29E-05;-1.66E-05;2.15E-05;-1.08E-05;-3.92E-05;7.25E-05;-1
2024/05/03/13:20:04.803530;170083;1714767604;803196102;world;-9.40E-06;-2.49E-05;1.01E-05;-8.85E-06;2.51E-06;3.34E-05;-1
2024/05/03/13:20:04.813180;170084;1714767604;812941397;world;2.35E-06;-2.06E-05;1.79E-05;-2.65E-05;-3.29E-05;2.48E-05;-1
2024/05/03/13:20:04.813209;170085;1714767604;812972886;world;-6.98E-06;-1.84E-05;2.24E-05;1.97E-05;2.99E-05;1.05E-05;-1
2024/05/03/13:20:04.843363;170086;1714767604;842969615;world;-1.49E-06;-1.57E-05;2.25E-05;-1.41E-05;-1.34E-05;4.77E-05;-1
2024/05/03/13:20:04.843389;170087;1714767604;843013468;world;-9.23E-06;-1.40E-05;1.37E-05;7.26E-06;-7.87E-06;3.63E-05;-1
2024/05/03/13:20:04.863551;170088;1714767604;863044484;world;-1.13E-05;-1.20E-05;1.65E-05;6.64E-05;1.09E-05;4.01E-05;-1
2024/05/03/13:20:04.873879;170089;1714767604;873487341;world;-5.22E-06;-2.39E-05;1.94E-05;3.43E-05;-9.84E-06;3.82E-05;-1
2024/05/03/13:20:04.893366;170090;1714767604;893119709;world;-3.65E-06;-3.19E-05;1.45E-05;1.99E-05;2.31E-05;3.15E-05;-1
2024/05/03/13:20:04.913487;170091;1714767604;913022112;world;-5.45E-06;-5.75E-06;1.97E-05;-9.84E-07;1.88E-06;2.48E-05;-1
2024/05/03/13:20:04.933777;170092;1714767604;933379318;world;-5.05E-07;-1.98E-05;2.44E-06;3.94E-06;2.05E-05;3.24E-05;-1
2024/05/03/13:20:04.943451;170093;1714767604;943171661;world;-8.30E-06;-2.59E-05;1.94E-05;3.85E-05;1.51E-06;1.15E-05;-1
2024/05/03/13:20:04.963783;170094;1714767604;963276887;world;-8.16E-06;-2.25E-05;1.82E-05;1.27E-08;-2.37E-05;3.53E-05;-1
2024/05/03/13:20:04.973566;170095;1714767604;973194301;world;-3.60E-06;-3.38E-05;9.70E-06;-4.40E-06;-4.90E-05;2.96E-05;-1
2024/05/03/13:20:04.993948;170096;1714767604;993455382;world;-3.62E-06;-1.88E-05;1.25E-05;-1.32E-05;-2.19E-05;2.01E-05;-1
2024/05/03/13:20:05.013631;170097;1714767605;13195581;world;-5.19E-06;-2.56E-05;2.41E-05;9.54E-07;-2.38E-05;4.77E-05;-1
2024/05/03/13:20:05.033367;170098;1714767605;32910100;world;-3.36E-06;-2.91E-05;1.31E-05;-2.61E-05;-3.63E-05;3.91E-05;-1
2024/05/03/13:20:05.043391;170099;1714767605;43061629;world;-7.72E-06;-1.24E-05;1.64E-05;1.90E-05;2.24E-06;4.58E-05;-1
2024/05/03/13:20:05.053760;170100;1714767605;53487006;world;-1.64E-06;-2.48E-05;2.42E-06;-3.80E-05;-4.30E-06;1.15E-05;-1
2024/05/03/13:20:05.063246;170101;1714767605;62961157;world;-6.45E-06;-2.25E-05;1.38E-05;8.20E-06;1.65E-06;1.34E-05;-1
2024/05/03/13:20:05.083652;170102;1714767605;83066202;world;-6.25E-06;-2.15E-05;1.91E-05;2.35E-05;1.75E-05;4.01E-05;-1
2024/05/03/13:20:05.093648;170103;1714767605;93126348;world;-4.92E-06;-2.50E-05;1.44E-05;-1.87E-05;-1.08E-05;6.01E-05;-1
2024/05/03/13:20:05.113610;170104;1714767605;113209368;world;-8.25E-06;-2.51E-05;1.61E-05;-5.56E-06;2.21E-05;1.05E-05;-1
2024/05/03/13:20:05.144797;170105;1714767605;143698547;world;-9.18E-06;-2.17E-05;1.35E-05;1.12E-05;-2.44E-05;3.72E-05;-1
2024/05/03/13:20:05.144854;170106;1714767605;143745545;world;-9.56E-06;-2.09E-05;1.78E-05;2.52E-05;2.69E-06;5.06E-05;-1
2024/05/03/13:20:05.163712;170107;1714767605;163338918;world;-9.10E-06;-1.14E-05;5.36E-06;-1.01E-05;1.01E-05;1.62E-05;-1
2024/05/03/13:20:05.173407;170108;1714767605;172999276;world;-4.66E-06;-2.70E-05;1.19E-06;-3.44E-05;2.40E-05;7.65E-06;-1
2024/05/03/13:20:05.193843;170109;1714767605;193464754;world;-1.63E-06;-2.89E-05;9.46E-06;-6.19E-06;-2.13E-05;2.96E-05;-1
2024/05/03/13:20:05.204100;170110;1714767605;203595919;world;-1.20E-05;-1.24E-05;2.25E-05;1.07E-05;2.21E-05;3.53E-05;-1
2024/05/03/13:20:05.223804;170111;1714767605;223412876;world;-9.70E-06;-1.42E-05;1.83E-05;6.22E-06;-1.30E-05;3.34E-05;-1
2024/05/03/13:20:05.253747;170112;1714767605;253427534;world;-1.79E-06;-3.20E-05;1.77E-05;2.00E-05;-1.73E-06;1.43E-05;-1
2024/05/03/13:20:05.263416;170113;1714767605;263064638;world;-1.66E-05;-2.55E-05;7.58E-06;2.26E-05;-2.57E-05;4.96E-05;-1
2024/05/03/13:20:05.273463;170114;1714767605;273157304;world;-5.90E-06;-1.84E-05;1.64E-05;-6.33E-06;-1.25E-05;3.53E-05;-1
2024/05/03/13:20:05.293657;170115;1714767605;293313122;world;-3.18E-06;-2.44E-05;1.46E-05;-1.63E-06;-4.44E-05;5.72E-05;-1
2024/05/03/13:20:05.303329;170116;1714767605;302993747;world;-8.34E-06;-2.12E-05;1.40E-05;-2.88E-05;5.74E-06;3.53E-05;-1
2024/05/03/13:20:05.323201;170117;1714767605;322940302;world;-5.77E-06;-7.52E-06;2.22E-05;2.93E-05;1.56E-05;3.91E-05;-1
2024/05/03/13:20:05.353446;170118;1714767605;353030401;world;-5.01E-06;-3.28E-05;1.44E-05;9.89E-06;-1.84E-05;1.81E-05;-1
2024/05/03/13:20:05.353473;170119;1714767605;353081768;world;-6.95E-07;-1.80E-05;9.62E-06;-2.57E-05;-1.39E-05;3.82E-05;-1
2024/05/03/13:20:05.363397;170120;1714767605;362987214;world;-2.86E-06;-2.49E-05;1.71E-05;-1.35E-05;-1.12E-05;3.53E-05;-1
2024/05/03/13:20:05.383168;170121;1714767605;382880320;world;-3.32E-06;-1.87E-05;2.29E-05;1.38E-05;1.06E-05;3.82E-05;-1
2024/05/03/13:20:05.393364;170122;1714767605;392917533;world;-9.35E-07;-2.10E-05;1.77E-05;1.02E-05;-8.77E-06;6.20E-05;-1
2024/05/03/13:20:05.413500;170123;1714767605;413209403;world;-1.10E-05;-1.13E-05;1.33E-05;-4.01E-05;-1.87E-05;1.91E-05;-1
2024/05/03/13:20:05.423844;170124;1714767605;423020466;world;-6.43E-06;-9.95E-06;1.98E-05;-4.50E-06;3.02E-05;2.48E-05;-1
2024/05/03/13:20:05.453334;170125;1714767605;452953560;world;4.42E-06;-1.98E-05;1.01E-05;-6.38E-05;-3.79E-05;1.72E-05;-1
2024/05/03/13:20:05.453394;170126;1714767605;452989808;world;-9.45E-06;-1.85E-05;1.46E-05;-9.55E-07;1.85E-05;4.68E-05;-1
2024/05/03/13:20:05.473985;170127;1714767605;473627501;world;-3.79E-06;-1.74E-05;7.85E-06;1.15E-05;-2.28E-05;2.77E-05;-1
2024/05/03/13:20:05.493576;170128;1714767605;493166484;world;-9.17E-06;-1.35E-05;9.99E-06;-3.79E-05;-9.09E-06;2.86E-05;-1
2024/05/03/13:20:05.503188;170129;1714767605;502958596;world;-1.17E-05;-2.60E-05;1.46E-05;-8.49E-06;-6.41E-06;3.53E-05;-1
2024/05/03/13:20:05.533599;170130;1714767605;533330012;world;-9.13E-06;-1.01E-05;1.03E-05;-1.77E-05;6.79E-07;2.20E-05;-1
