time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.pose.position.x;.pose.position.y;.pose.position.z;.pose.orientation.x;.pose.orientation.y;.pose.orientation.z;.pose.orientation.w
2024/05/03/13:00:36.953694;96553;1714766436;953319999;world;6.92E-05;2.40E-05;-4.76E-05;9.92E-06;-9.99E-05;-6.99E-05;1
2024/05/03/13:00:36.953727;96554;1714766436;953367668;world;6.82E-05;2.44E-05;-2.70E-05;2.87E-05;-0.000105412;-0.000128819;1
2024/05/03/13:00:36.963433;96555;1714766436;963105237;world;5.65E-05;2.58E-05;-2.60E-05;3.14E-05;-3.71E-05;-0.000147712;1
2024/05/03/13:00:36.983680;96556;1714766436;983371192;world;8.91E-05;1.25E-06;-3.90E-05;-5.80E-05;-7.66E-05;-7.58E-05;1
2024/05/03/13:00:36.993660;96557;1714766436;993381523;world;7.88E-05;5.40E-05;-6.53E-05;-6.65E-05;-0.000183851;-3.61E-05;1
2024/05/03/13:00:37.013736;96558;1714766437;13384892;world;5.76E-05;-1.44E-06;-7.46E-05;-9.85E-05;-0.000149734;-0.000197661;1
2024/05/03/13:00:37.023578;96559;1714766437;23256313;world;9.87E-05;1.95E-05;-3.44E-05;-6.90E-05;-0.000114469;-0.000104861;1
2024/05/03/13:00:37.043671;96560;1714766437;43332017;world;6.08E-05;8.06E-06;-4.91E-05;1.28E-05;-1.19E-05;-0.000117678;1
2024/05/03/13:00:37.064299;96561;1714766437;63946407;world;8.73E-05;1.29E-05;-4.43E-05;-2.15E-05;-2.00E-05;-9.40E-05;1
2024/05/03/13:00:37.073516;96562;1714766437;73158026;world;7.63E-05;-2.56E-05;-5.46E-05;-4.15E-05;-2.30E-05;-0.000110164;1
2024/05/03/13:00:37.093679;96563;1714766437;93332613;world;8.26E-05;3.49E-05;-6.73E-05;1.63E-06;-4.49E-05;-0.000151737;1
2024/05/03/13:00:37.113375;96564;1714766437;113034158;world;7.34E-05;-2.77E-06;-8.35E-05;-8.11E-05;-2.06E-05;-0.000164872;1
2024/05/03/13:00:37.123211;96565;1714766437;122917754;world;8.62E-05;9.01E-06;-7.22E-05;-0.000101503;-0.000141627;-0.000201296;1
2024/05/03/13:00:37.153265;96566;1714766437;152950701;world;9.00E-05;1.50E-05;-6.48E-05;-5.28E-05;-0.000126791;-0.000231878;1
2024/05/03/13:00:37.153293;96567;1714766437;152996958;world;7.78E-05;-3.52E-05;-5.35E-05;-9.23E-05;3.56E-05;-0.000138395;1
2024/05/03/13:00:37.173427;96568;1714766437;173090916;world;9.72E-05;5.64E-06;-2.10E-05;-6.70E-05;-8.12E-05;-8.18E-05;1
2024/05/03/13:00:37.183568;96569;1714766437;183273612;world;5.48E-05;1.17E-05;-4.98E-05;-2.60E-05;-1.28E-05;-0.000131829;1
2024/05/03/13:00:37.203400;96570;1714766437;203086273;world;7.51E-05;-1.16E-05;-4.41E-05;-1.91E-05;-4.27E-05;-0.000181485;1
2024/05/03/13:00:37.223547;96571;1714766437;223243883;world;7.59E-05;1.52E-05;-5.65E-05;-7.83E-05;-0.000112617;-0.000170331;1
2024/05/03/13:00:37.263754;96572;1714766437;263383884;world;9.90E-05;1.28E-05;-4.93E-05;-0.000126347;-0.000100492;-0.000115468;1
2024/05/03/13:00:37.263769;96574;1714766437;263442704;world;0.000100083;2.99E-05;-3.54E-05;-3.21E-05;-0.000141243;-6.91E-05;1
