time;.header.seq;.header.stamp.secs;.header.stamp.nsecs;.header.frame_id;.name;.position;.velocity;.effort
2024/05/03/12:36:47.153089;29838;1714765007;157586516;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.168163;29839;1714765007;173485748;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.186348;29840;1714765007;190344424;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.60012817382812);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.200872;29841;1714765007;205498137;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.220518;29842;1714765007;221494924;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.235098;29843;1714765007;237494397;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.248530;29844;1714765007;253486128;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.264759;29845;1714765007;269450267;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.60012817382812);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(0.0, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, -2.690000057220459, 0.0)
2024/05/03/12:36:47.286203;29846;1714765007;285535054;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.296025;29847;1714765007;301532138;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, -2.690000057220459, 0.0)
2024/05/03/12:36:47.326015;29848;1714765007;317506981;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.331290;29849;1714765007;333492416;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.345230;29850;1714765007;349467092;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.360748;29851;1714765007;365489120;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45254516601562, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.378118;29852;1714765007;381439703;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0015339808305725455, 160.60012817382812);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.393451;29853;1714765007;397476657;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(2.690000057220459, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
2024/05/03/12:36:47.408363;29854;1714765007;413413019;;['BL_Position', 'BL_Wheel', 'BR_Position', 'BR_Wheel', 'FL_Position', 'FL_Wheel', 'FR_Position', 'FR_Wheel'];(0.0, 158.45408630371094, 0.0, 155.86473083496094, 0.0, 156.32337951660156, 0.0, 160.5985870361328);(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0);(5.380000114440918, 21.520000457763672, 0.0, 5.380000114440918, 0.0, -2.690000057220459, 0.0, 0.0)
